Date & Time,Solve Time
F 21 2016 07:07:05 PM,06:52.44
F 21 2016 06:58:25 PM,07:03.64
F 21 2016 06:48:04 PM,06:07.29
F 21 2016 06:38:12 PM,06:07.37
F 21 2016 06:11:47 PM,06:35.80
F 19 2016 09:38:59 PM,06:21.12
F 19 2016 09:30:36 PM,05:52.38
F 19 2016 09:21:36 PM,05:59.80
F 15 2016 05:47:37 PM,06:19.89
F 15 2016 05:36:23 PM,06:59.15
F 15 2016 05:27:59 PM,06:34.15
F 13 2016 05:43:06 PM,06:29.61
F 13 2016 05:34:13 PM,06:10.91
F 13 2016 05:09:55 PM,06:27.40
F 06 2016 07:40:12 PM,07:42.68
F 06 2016 07:31:00 PM,07:28.57
F 06 2016 07:21:55 PM,06:04.57
F 04 2016 09:13:45 PM,06:36.51
F 04 2016 09:06:06 PM,06:04.17
F 04 2016 08:58:04 PM,06:04.40
F 04 2016 08:49:41 PM,06:49.58
F 04 2016 08:39:50 PM,06:28.42
F 01 2016 08:57:25 PM,06:32.73
F 01 2016 08:47:14 PM,07:58.40
F 01 2016 08:38:10 PM,06:50.63
F 01 2016 08:30:05 PM,06:15.91
J 31 2016 06:50:32 PM,06:38.22
J 30 2016 08:37:06 PM,06:37.30
J 30 2016 08:27:37 PM,07:19.67
J 30 2016 08:19:28 PM,06:28.39
J 30 2016 08:10:06 PM,07:09.18
J 28 2016 08:43:10 PM,06:18.81
J 28 2016 08:34:49 PM,06:25.75
J 28 2016 08:26:16 PM,06:34.82
J 28 2016 08:17:24 PM,07:05.98
J 28 2016 08:08:40 PM,07:07.28
J 28 2016 08:00:24 PM,06:44.26
J 28 2016 07:19:41 PM,06:41.12
J 21 2016 07:53:32 PM,06:48.30
J 21 2016 07:43:21 PM,07:32.19
J 20 2016 09:27:54 PM,07:29.43
J 20 2016 09:16:09 PM,07:36.03
J 20 2016 09:07:31 PM,06:49.08
J 20 2016 08:59:23 PM,06:31.77
J 20 2016 08:50:37 PM,07:12.75
J 20 2016 08:41:20 PM,07:08.36
J 20 2016 08:32:02 PM,07:11.43
J 20 2016 08:23:11 PM,07:02.90
J 20 2016 08:13:58 PM,07:39.44
J 20 2016 08:05:20 PM,06:37.44
J 20 2016 07:18:35 PM,06:40.43
J 20 2016 06:22:08 PM,07:28.15
J 20 2016 06:11:29 PM,06:24.48
J 20 2016 05:57:48 PM,07:25.25
J 19 2016 09:23:30 PM,06:50.42
J 19 2016 09:15:13 PM,06:34.71
J 19 2016 09:05:46 PM,07:04.29
J 19 2016 08:56:17 PM,07:20.63
J 17 2016 10:21:15 PM,07:39.28
J 17 2016 10:12:05 PM,06:49.51
J 17 2016 10:00:32 PM,07:17.12
J 17 2016 09:47:20 PM,06:52.17
J 15 2016 09:42:04 PM,06:57.84
J 15 2016 09:27:54 PM,07:35.46
J 15 2016 09:19:15 PM,06:44.17
J 15 2016 09:09:54 PM,07:25.33
J 15 2016 09:00:29 PM,06:51.31
J 15 2016 08:51:12 PM,07:11.87
J 15 2016 08:40:35 PM,08:38.57
J 14 2016 06:50:15 PM,07:17.25
J 14 2016 06:41:07 PM,07:14.70
J 14 2016 06:32:34 PM,06:58.04
J 14 2016 06:23:21 PM,06:40.09
J 14 2016 06:14:09 PM,07:18.35
J 13 2016 11:51:55 PM,07:04.45
J 13 2016 11:43:33 PM,06:25.54
J 13 2016 11:35:36 PM,06:33.62
J 13 2016 11:27:02 PM,07:08.04
J 13 2016 11:17:07 PM,08:21.91
